Year,Platform,Counts
1984,PC,1
1985,PC,1
1988,PC,1
1989,PC,1
1993,PC,3
1994,PC,1
1995,PC,5
1996,PC,7
1997,PC,8
1998,PC,8
1999,PC,9
2000,PC,5
2001,PlayStation 2,26
2002,PlayStation 2,30
2003,PlayStation 2,34
2004,PlayStation 2,31
2005,PlayStation 2,21
2006,Xbox 360,14
2007,Wii,16
2008,Wii,13
2009,Wii,11
2010,Wii,11
2011,PC,5
2012,PC,7
2013,PC,10
2014,PlayStation 4,5
2015,PC,7
2016,PC,7
2017,Nintendo Switch,15
2018,Nintendo Switch,15
2019,Nintendo Switch,15
2020,Nintendo Switch,12
2021,Nintendo Switch,15
2022,Nintendo Switch,10
2023,Nintendo Switch,9
2024,Nintendo Switch,2
